X [s];IL: EMG 1 [V];X [s];LON: EMG 2 [V];X [s];ACC: ACC.X 3 [g];X [s];ACC: ACC.Y 3 [g];X [s];ACC: ACC.Z 3 [g];X [s];ACC: GYRO.X 3 [°/s];X [s];ACC: GYRO.Y 3 [°/s];X [s];ACC: GYRO.Z 3 [°/s]
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.000465517;0;0.000465517;0;0.00675;0;0.00675;0;0.00675;0;0.00675;0;0.00675;0;0.00675;0
0.000931034;0;0.000931034;0;0.0135;0;0.0135;0;0.0135;0;0.0135;0;0.0135;0;0.0135;0
0.001396552;0;0.001396552;0;0.02025;0;0.02025;0;0.02025;0;0.02025;0;0.02025;0;0.02025;0
0.001862069;0;0.001862069;0;0.027;0;0.027;0;0.027;0;0.027;0;0.027;0;0.027;0
0.002327586;0;0.002327586;0;0.03375;0;0.03375;0;0.03375;0;0.03375;0;0.03375;0;0.03375;0
0.002793103;0;0.002793103;0;0.0405;0;0.0405;0;0.0405;0;0.0405;0;0.0405;0;0.0405;0
0.003258621;0;0.003258621;0;0.04725;0;0.04725;0;0.04725;0;0.04725;0;0.04725;0;0.04725;0
0.003724138;0;0.003724138;0;0.054;0;0.054;0;0.054;0;0.054;0;0.054;0;0.054;0
0.004189655;0;0.004189655;0;0.06075;0;0.06075;0;0.06075;0;0.06075;0;0.06075;0;0.06075;0
0.004655172;0;0.004655172;0;0.0675;0;0.0675;0;0.0675;0;0.0675;0;0.0675;0;0.0675;0
0.00512069;0;0.00512069;0;0.07425;0;0.07425;0;0.07425;0;0.07425;0;0.07425;0;0.07425;0
0.005586207;0;0.005586207;0;0.081;0;0.081;0;0.081;0;0.081;0;0.081;0;0.081;0
0.006051724;0;0.006051724;0;0.08775;0;0.08775;0;0.08775;0;0.08775;0;0.08775;0;0.08775;0
0.006517241;0;0.006517241;0;0.0945;0;0.0945;0;0.0945;0;0.0945;0;0.0945;0;0.0945;0
0.006982759;0;0.006982759;0;0.10125;0;0.10125;0;0.10125;0;0.10125;0;0.10125;0;0.10125;0
0.007448276;0;0.007448276;0;0.108;0;0.108;0;0.108;0;0.108;0;0.108;0;0.108;0
0.007913793;0;0.007913793;0;0.11475;0;0.11475;0;0.11475;0;0.11475;0;0.11475;0;0.11475;0
0.00837931;0;0.00837931;0;0.1215;0.1328125;0.1215;-0.631347656;0.1215;0.6015625;0.1215;64.75609589;0.1215;6.463414669;0.1215;-12.31707382
0.008844828;0;0.008844828;0;0.12825;0.129394531;0.12825;-0.623046875;0.12825;0.606445313;0.12825;66.34146118;0.12825;6.097560883;0.12825;-12.56097603
0.009310345;0;0.009310345;0;0.135;0.132324219;0.135;-0.616699219;0.135;0.603027344;0.135;67.86585236;0.135;5.975609779;0.135;-12.68292713
0.009775862;0;0.009775862;0;0.14175;0.131347656;0.14175;-0.606933594;0.14175;0.603027344;0.14175;69.14633942;0.14175;5.609755993;0.14175;-12.5
0.010241379;0;0.010241379;0;0.1485;0.131835938;0.1485;-0.602539063;0.1485;0.618652344;0.1485;70.67073059;0.1485;5.548780441;0.1485;-12.3780489
0.010706897;0;0.010706897;0;0.15525;0.137207031;0.15525;-0.58984375;0.15525;0.639648438;0.15525;71.89024353;0.15525;5.548780441;0.15525;-12.25609779
0.011172414;0;0.011172414;0;0.162;0.133789063;0.162;-0.577636719;0.162;0.647460938;0.162;73.10975647;0.162;5.609755993;0.162;-12.31707382
0.011637931;0;0.011637931;0;0.16875;0.130371094;0.16875;-0.560546875;0.16875;0.642089844;0.16875;74.32926941;0.16875;5.670732021;0.16875;-12.68292713
0.012103448;0;0.012103448;0;0.1755;0.135253906;0.1755;-0.546875;0.1755;0.637207031;0.1755;75.42683411;0.1755;6.097560883;0.1755;-12.80487823
0.012568966;0;0.012568966;0;0.18225;0.131835938;0.18225;-0.538574219;0.18225;0.628417969;0.18225;77.07317352;0.18225;6.341463566;0.18225;-12.56097603
0.013034483;0;0.013034483;0;0.189;0.131347656;0.189;-0.534667969;0.189;0.61328125;0.189;79.26829529;0.189;5.975609779;0.189;-12.43902493
0.0135;0;0.0135;0;0.19575;0.132324219;0.19575;-0.526855469;0.19575;0.602050781;0.19575;80.30487823;0.19575;5.914634228;0.19575;-12.31707382
0.013965517;0;0.013965517;0;0.2025;0.132324219;0.2025;-0.522949219;0.2025;0.625488281;0.2025;82.68292999;0.2025;5.853658676;0.2025;-11.89024448
0.014431034;0;0.014431034;0;0.20925;0.136230469;0.20925;-0.51953125;0.20925;0.630371094;0.20925;85.12195587;0.20925;5.426829338;0.20925;-11.70731735
0.014896552;0;0.014896552;0;0.216;0.133300781;0.216;-0.516601563;0.216;0.630859375;0.216;87.37805176;0.216;5;0.216;-12.13414669
0.015362069;0;0.015362069;0;0.22275;0.140625;0.22275;-0.509765625;0.22275;0.652832031;0.22275;89.14634705;0.22275;4.756097794;0.22275;-12.92682934
0.015827586;0;0.015827586;0;0.2295;0.158203125;0.2295;-0.490234375;0.2295;0.686523438;0.2295;90.36585236;0.2295;4.085365772;0.2295;-13.2926836
0.016293103;0;0.016293103;0;0.23625;0.156738281;0.23625;-0.458496094;0.23625;0.69921875;0.23625;91.28048706;0.23625;3.841463566;0.23625;-13.65853691
0.016758621;0;0.016758621;0;0.243;0.154785156;0.243;-0.4296875;0.243;0.688964844;0.243;91.95122528;0.243;3.658536673;0.243;-14.14634132
0.017224138;0;0.017224138;0;0.24975;0.151367188;0.24975;-0.415039063;0.24975;0.675292969;0.24975;92.74390411;0.24975;3.963414669;0.24975;-14.51219559
0.017689655;0;0.017689655;0;0.2565;0.149902344;0.2565;-0.404296875;0.2565;0.666503906;0.2565;93.4146347;0.2565;4.756097794;0.2565;-15.24390316
0.018155172;0;0.018155172;0;0.26325;0.151367188;0.26325;-0.400390625;0.26325;0.666015625;0.26325;94.26829529;0.26325;5.182927132;0.26325;-15.60975647
0.01862069;0;0.01862069;0;0.27;0.155761719;0.27;-0.397949219;0.27;0.66796875;0.27;94.5121994;0.27;5.060975552;0.27;-15.85365868
0.019086207;0;0.019086207;0;0.27675;0.161132813;0.27675;-0.395507813;0.27675;0.662109375;0.27675;95.67073059;0.27675;5.121951103;0.27675;-15.9146347
0.019551724;0;0.019551724;0;0.2835;0.1640625;0.2835;-0.389160156;0.2835;0.652832031;0.2835;96.82926941;0.2835;5.243902683;0.2835;-15.7926836
0.020017241;0;0.020017241;0;0.29025;0.160644531;0.29025;-0.372070313;0.29025;0.654296875;0.29025;97.62195587;0.29025;5.548780441;0.29025;-15.6707325
0.020482759;0;0.020482759;0;0.297;0.160644531;0.297;-0.355957031;0.297;0.684570313;0.297;99.20732117;0.297;6.036585331;0.297;-15.54878044
0.020948276;0;0.020948276;0;0.30375;0.151367188;0.30375;-0.34375;0.30375;0.699707031;0.30375;100.6707306;0.30375;6.219512463;0.30375;-16.34146309
0.021413793;0;0.021413793;0;0.3105;0.151367188;0.3105;-0.3359375;0.3105;0.691894531;0.3105;102.1341476;0.3105;6.524390221;0.3105;-17.01219559
0.02187931;0;0.02187931;0;0.31725;0.147949219;0.31725;-0.319824219;0.31725;0.685058594;0.31725;103.2926865;0.31725;6.402439117;0.31725;-17.74390221
0.022344828;0;0.022344828;0;0.324;0.151855469;0.324;-0.304199219;0.324;0.707519531;0.324;104.3902435;0.324;6.646341801;0.324;-17.80487823
0.022810345;0;0.022810345;0;0.33075;0.15234375;0.33075;-0.285644531;0.33075;0.709960938;0.33075;105.3048782;0.33075;6.341463566;0.33075;-18.10975647
0.023275862;0;0.023275862;0;0.3375;0.160644531;0.3375;-0.272460938;0.3375;0.698242188;0.3375;105.9146347;0.3375;6.524390221;0.3375;-17.80487823
0.023741379;0;0.023741379;0;0.34425;0.164550781;0.34425;-0.260253906;0.34425;0.686523438;0.34425;106.4024429;0.34425;6.402439117;0.34425;-17.86585426
0.024206897;0;0.024206897;0;0.351;0.16796875;0.351;-0.243164063;0.351;0.672363281;0.351;106.8902435;0.351;6.463414669;0.351;-18.10975647
0.024672414;0;0.024672414;0;0.35775;0.165039063;0.35775;-0.234863281;0.35775;0.663085938;0.35775;107.2561035;0.35775;6.707317352;0.35775;-18.35365868
0.025137931;0;0.025137931;0;0.3645;0.166503906;0.3645;-0.22265625;0.3645;0.6328125;0.3645;107.9268341;0.3645;7.560975552;0.3645;-18.1707325
0.025603448;0;0.025603448;0;0.37125;0.167480469;0.37125;-0.209472656;0.37125;0.683105469;0.37125;108.8414688;0.37125;8.719511986;0.37125;-18.1707325
0.026068966;0;0.026068966;0;0.378;0.175292969;0.378;-0.198730469;0.378;0.751464844;0.378;110.4268341;0.378;9.024390221;0.378;-18.4146347
0.026534483;0;0.026534483;0;0.38475;0.168457031;0.38475;-0.196289063;0.38475;0.770507813;0.38475;111.3414688;0.38475;8.658536911;0.38475;-19.57317162
0.027;0;0.027;0;0.3915;0.16015625;0.3915;-0.178710938;0.3915;0.75;0.3915;111.8292694;0.3915;8.536585808;0.3915;-21.09756088
0.027465517;0;0.027465517;0;0.39825;0.152832031;0.39825;-0.151367188;0.39825;0.729003906;0.39825;111.8292694;0.39825;8.841464043;0.39825;-22.68292809
0.027931034;0;0.027931034;0;0.405;0.15234375;0.405;-0.124511719;0.405;0.7109375;0.405;111.8902435;0.405;9.207317352;0.405;-23.29268265
0.028396552;0;0.028396552;0;0.41175;0.139648438;0.41175;-0.104980469;0.41175;0.692382813;0.41175;111.646347;0.41175;9.390244484;0.41175;-23.1707325
0.028862069;0;0.028862069;0;0.4185;0.126464844;0.4185;-0.096191406;0.4185;0.670898438;0.4185;111.5243912;0.4185;9.573170662;0.4185;-22.62195206
0.029327586;0;0.029327586;0;0.42525;0.123046875;0.42525;-0.092773438;0.42525;0.667480469;0.42525;111.2195129;0.42525;9.695121765;0.42525;-21.28048897
0.029793103;0;0.029793103;0;0.432;0.127441406;0.432;-0.087890625;0.432;0.674804688;0.432;111.4024429;0.432;9.268292427;0.432;-20.36585426
0.030258621;0;0.030258621;0;0.43875;0.140625;0.43875;-0.067382813;0.43875;0.6796875;0.43875;111.3414688;0.43875;9.146341324;0.43875;-20.12195206
0.030724138;0;0.030724138;0;0.4455;0.157714844;0.4455;-0.049804688;0.4455;0.695800781;0.4455;111.1585388;0.4455;8.414634705;0.4455;-19.20731735
0.031189655;0;0.031189655;0;0.45225;0.17578125;0.45225;-0.045898438;0.45225;0.76171875;0.45225;112.5609818;0.45225;7.560975552;0.45225;-18.84146309
0.031655172;0;0.031655172;0;0.459;0.186035156;0.459;-0.03125;0.459;0.802734375;0.459;114.146347;0.459;6.036585331;0.459;-18.1707325
