X [s];IL: EMG 1 [V];X [s];LON: EMG 2 [V];X [s];ACC: ACC.X 3 [g];X [s];ACC: ACC.Y 3 [g];X [s];ACC: ACC.Z 3 [g];X [s];ACC: GYRO.X 3 [s];X [s];ACC: GYRO.Y 3 [s];X [s];ACC: GYRO.Z 3 [s]
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.000465517;0;0.000465517;0;0.00675;0;0.00675;0;0.00675;0;0.00675;0;0.00675;0;0.00675;0
0.000931034;0;0.000931034;0;0.0135;0;0.0135;0;0.0135;0;0.0135;0;0.0135;0;0.0135;0
0.001396552;0;0.001396552;0;0.02025;0;0.02025;0;0.02025;0;0.02025;0;0.02025;0;0.02025;0
0.001862069;0;0.001862069;0;0.027;0;0.027;0;0.027;0;0.027;0;0.027;0;0.027;0
0.002327586;0;0.002327586;0;0.03375;0;0.03375;0;0.03375;0;0.03375;0;0.03375;0;0.03375;0
0.002793103;0;0.002793103;0;0.0405;0;0.0405;0;0.0405;0;0.0405;0;0.0405;0;0.0405;0
0.003258621;0;0.003258621;0;0.04725;0;0.04725;0;0.04725;0;0.04725;0;0.04725;0;0.04725;0
0.003724138;0;0.003724138;0;0.054;0;0.054;0;0.054;0;0.054;0;0.054;0;0.054;0
0.004189655;0;0.004189655;0;0.06075;0;0.06075;0;0.06075;0;0.06075;0;0.06075;0;0.06075;0
0.004655172;0;0.004655172;0;0.0675;0;0.0675;0;0.0675;0;0.0675;0;0.0675;0;0.0675;0
0.00512069;0;0.00512069;0;0.07425;0;0.07425;0;0.07425;0;0.07425;0;0.07425;0;0.07425;0
0.005586207;0;0.005586207;0;0.081;0;0.081;0;0.081;0;0.081;0;0.081;0;0.081;0
0.006051724;0;0.006051724;0;0.08775;0;0.08775;0;0.08775;0;0.08775;0;0.08775;0;0.08775;0
0.006517241;0;0.006517241;0;0.0945;0;0.0945;0;0.0945;0;0.0945;0;0.0945;0;0.0945;0
0.006982759;0;0.006982759;0;0.10125;0;0.10125;0;0.10125;0;0.10125;0;0.10125;0;0.10125;0
0.007448276;0;0.007448276;0;0.108;0;0.108;0;0.108;0;0.108;0;0.108;0;0.108;0
0.007913793;0;0.007913793;0;0.11475;0;0.11475;0;0.11475;0;0.11475;0;0.11475;0;0.11475;0
0.00837931;0;0.00837931;0;0.1215;0.175292969;0.1215;-0.782714844;0.1215;0.591308594;0.1215;-0.853658557;0.1215;-2.560975552;0.1215;3.719512224
0.008844828;0;0.008844828;0;0.12825;0.174804688;0.12825;-0.787597656;0.12825;0.588378906;0.12825;-0.670731723;0.12825;-2.560975552;0.12825;3.963414669
0.009310345;0;0.009310345;0;0.135;0.170898438;0.135;-0.784179688;0.135;0.580566406;0.135;-0.060975611;0.135;-2.560975552;0.135;4.024390221
0.009775862;0;0.009775862;0;0.14175;0.16796875;0.14175;-0.778320313;0.14175;0.57421875;0.14175;0.060975611;0.14175;-2.378048897;0.14175;4.085365772
0.010241379;0;0.010241379;0;0.1485;0.165039063;0.1485;-0.770996094;0.1485;0.56640625;0.1485;0;0.1485;-2.134146452;0.1485;4.024390221
0.010706897;0;0.010706897;0;0.15525;0.168945313;0.15525;-0.764160156;0.15525;0.564941406;0.15525;-0.182926834;0.15525;-2.134146452;0.15525;4.390244007
0.011172414;0;0.011172414;0;0.162;0.170898438;0.162;-0.756835938;0.162;0.567382813;0.162;-0.060975611;0.162;-2.134146452;0.162;4.695122242
0.011637931;0;0.011637931;0;0.16875;0.16796875;0.16875;-0.74609375;0.16875;0.568847656;0.16875;0.121951222;0.16875;-1.890243888;0.16875;4.817073345
0.012103448;0;0.012103448;0;0.1755;0.167480469;0.1755;-0.747558594;0.1755;0.571777344;0.1755;0.48780489;0.1755;-1.524390221;0.1755;5.060975552
0.012568966;0;0.012568966;0;0.18225;0.166992188;0.18225;-0.751464844;0.18225;0.572265625;0.18225;0.792682946;0.18225;-1.036585331;0.18225;4.939024448
0.013034483;0;0.013034483;0;0.189;0.166503906;0.189;-0.749511719;0.189;0.57421875;0.189;1.158536553;0.189;-0.670731723;0.189;4.573170662
0.0135;0;0.0135;0;0.19575;0.166015625;0.19575;-0.745117188;0.19575;0.577148438;0.19575;1.341463447;0.19575;-0.365853667;0.19575;4.390244007
0.013965517;0;0.013965517;0;0.2025;0.170898438;0.2025;-0.735839844;0.2025;0.580078125;0.2025;1.463414669;0.2025;0;0.2025;4.207317352
0.014431034;0;0.014431034;0;0.20925;0.174316406;0.20925;-0.728515625;0.20925;0.583496094;0.20925;1.646341443;0.20925;0.670731723;0.20925;3.902439117
0.014896552;0;0.014896552;0;0.216;0.178222656;0.216;-0.721191406;0.216;0.587890625;0.216;1.585365891;0.216;1.280487776;0.216;3.353658676
0.015362069;0;0.015362069;0;0.22275;0.182617188;0.22275;-0.723144531;0.22275;0.583984375;0.22275;1.341463447;0.22275;1.524390221;0.22275;2.98780489
0.015827586;0;0.015827586;0;0.2295;0.184570313;0.2295;-0.7265625;0.2295;0.583007813;0.2295;0.914634168;0.2295;1.829268336;0.2295;2.560975552
0.016293103;0;0.016293103;0;0.23625;0.18359375;0.23625;-0.730957031;0.23625;0.575683594;0.23625;0.548780501;0.23625;2.195122004;0.23625;1.951219559
0.016758621;0;0.016758621;0;0.243;0.184570313;0.243;-0.728515625;0.243;0.571289063;0.243;0.121951222;0.243;2.134146452;0.243;1.280487776
0.017224138;0;0.017224138;0;0.24975;0.183105469;0.24975;-0.719238281;0.24975;0.565429688;0.24975;-0.182926834;0.24975;2.134146452;0.24975;0.670731723
0.017689655;0;0.017689655;0;0.2565;0.181152344;0.2565;-0.71484375;0.2565;0.565917969;0.2565;-0.121951222;0.2565;2.256097555;0.2565;0.243902445
0.018155172;0;0.018155172;0;0.26325;0.181152344;0.26325;-0.716796875;0.26325;0.564941406;0.26325;-0.304878056;0.26325;2.134146452;0.26325;0
0.01862069;0;0.01862069;0;0.27;0.179199219;0.27;-0.71484375;0.27;0.564453125;0.27;-0.548780501;0.27;2.378048897;0.27;-0.609756112
0.019086207;0;0.019086207;0;0.27675;0.18359375;0.27675;-0.718261719;0.27675;0.564453125;0.27675;-0.914634168;0.27675;2.926829338;0.27675;-0.853658557
0.019551724;0;0.019551724;0;0.2835;0.187011719;0.2835;-0.725585938;0.2835;0.565917969;0.2835;-1.036585331;0.2835;3.536585331;0.2835;-1.524390221
0.020017241;0;0.020017241;0;0.29025;0.192382813;0.29025;-0.727539063;0.29025;0.565917969;0.29025;-0.792682946;0.29025;3.658536673;0.29025;-2.073170662
0.020482759;0;0.020482759;0;0.297;0.196777344;0.297;-0.729492188;0.297;0.570800781;0.297;-0.853658557;0.297;3.963414669;0.297;-3.170731783
0.020948276;0;0.020948276;0;0.30375;0.203125;0.30375;-0.721679688;0.30375;0.578125;0.30375;-0.365853667;0.30375;4.329268456;0.30375;-4.207317352
0.021413793;0;0.021413793;0;0.3105;0.203125;0.3105;-0.7109375;0.3105;0.588378906;0.3105;-0.121951222;0.3105;4.390244007;0.3105;-4.817073345
0.02187931;0;0.02187931;0;0.31725;0.202636719;0.31725;-0.709960938;0.31725;0.599121094;0.31725;-0.304878056;0.31725;4.390244007;0.31725;-5.182927132
0.022344828;0;0.022344828;0;0.324;0.201171875;0.324;-0.719238281;0.324;0.60546875;0.324;-0.792682946;0.324;4.573170662;0.324;-5.060975552
0.022810345;0;0.022810345;0;0.33075;0.197265625;0.33075;-0.745117188;0.33075;0.609375;0.33075;-1.463414669;0.33075;4.634146214;0.33075;-5.060975552
0.023275862;0;0.023275862;0;0.3375;0.196777344;0.3375;-0.756347656;0.3375;0.608398438;0.3375;-1.768292665;0.3375;4.878048897;0.3375;-5.060975552
0.023741379;0;0.023741379;0;0.34425;0.193847656;0.34425;-0.775390625;0.34425;0.603515625;0.34425;-1.707317114;0.34425;4.939024448;0.34425;-5.243902683
0.024206897;0;0.024206897;0;0.351;0.185058594;0.351;-0.781738281;0.351;0.595214844;0.351;-1.585365891;0.351;5.060975552;0.351;-5.182927132
0.024672414;0;0.024672414;0;0.35775;0.181152344;0.35775;-0.76953125;0.35775;0.590332031;0.35775;-1.097561002;0.35775;5.304878235;0.35775;-5.48780489
0.025137931;0;0.025137931;0;0.3645;0.172363281;0.3645;-0.743652344;0.3645;0.588378906;0.3645;-0.792682946;0.3645;5.609755993;0.3645;-5.548780441
0.025603448;0;0.025603448;0;0.37125;0.171875;0.37125;-0.721679688;0.37125;0.589355469;0.37125;-0.792682946;0.37125;5.792683125;0.37125;-5.121951103
0.026068966;0;0.026068966;0;0.378;0.173339844;0.378;-0.707519531;0.378;0.587402344;0.378;-1.402438998;0.378;5.853658676;0.378;-4.451219559
0.026534483;0;0.026534483;0;0.38475;0.17578125;0.38475;-0.705078125;0.38475;0.58203125;0.38475;-2.317073107;0.38475;6.280488014;0.38475;-3.719512224
0.027;0;0.027;0;0.3915;0.181640625;0.3915;-0.715820313;0.3915;0.578125;0.3915;-2.743902445;0.3915;6.341463566;0.3915;-3.292682886
0.027465517;0;0.027465517;0;0.39825;0.182128906;0.39825;-0.733886719;0.39825;0.573242188;0.39825;-3.048780441;0.39825;6.646341801;0.39825;-3.231707335
0.027931034;0;0.027931034;0;0.405;0.184082031;0.405;-0.741699219;0.405;0.565429688;0.405;-3.414634228;0.405;6.890244007;0.405;-3.231707335
0.028396552;0;0.028396552;0;0.41175;0.185546875;0.41175;-0.748046875;0.41175;0.566894531;0.41175;-3.536585331;0.41175;7.195122242;0.41175;-2.98780489
0.028862069;0;0.028862069;0;0.4185;0.181640625;0.4185;-0.752929688;0.4185;0.571777344;0.4185;-3.597561121;0.4185;7.317073345;0.4185;-3.170731783
0.029327586;0;0.029327586;0;0.42525;0.181152344;0.42525;-0.757324219;0.42525;0.585449219;0.42525;-3.536585331;0.42525;7.743902683;0.42525;-2.865853786
0.029793103;0;0.029793103;0;0.432;0.186523438;0.432;-0.76953125;0.432;0.588378906;0.432;-3.414634228;0.432;7.98780489;0.432;-2.5
0.030258621;0;0.030258621;0;0.43875;0.184570313;0.43875;-0.778808594;0.43875;0.583984375;0.43875;-3.414634228;0.43875;8.414634705;0.43875;-1.951219559
0.030724138;0;0.030724138;0;0.4455;0.181152344;0.4455;-0.787597656;0.4455;0.57421875;0.4455;-3.780487776;0.4455;8.536585808;0.4455;-1.280487776
0.031189655;0;0.031189655;0;0.45225;0.176757813;0.45225;-0.787109375;0.45225;0.566894531;0.45225;-3.780487776;0.45225;8.780488014;0.45225;-1.280487776
