id_soleit;calib
CL02237;3.994098449
CL02238;3.989620253
CL02239;4.017069758
CL02240;4.431138504
CL02241;4.545541572
CL02242;4.908247703
CL02243;4.483847029
CL02244;4.151979805
CL02246;4.186368532
CL02247;4.025712095
CL02248;4.730225186
CL02249;4.384675896
CL02251;4.544213036
CL02252;4.06626783
CL02253;4.523630856
CL02254;4.239343793
CL02255;4.335984657
CL02256;4.658711305
CL02257;4.2746371
CL02258;4.845345948
CL02259;5.174479928
CL02260;4.322000476
CL02261;4.413171617
CL02262;4.78327069
CL02280;4.699844248
CL02281;4.392552213
CL02283;4.430789529
CL02282;4.75890156
CL02285;4.712267128
CL02284;4.605547179
CL02286;4.053765694
CL02288;4.024523362
CL02287;4.183518572
CL02289;4.507197938
CL02290;4.220880452
CL02291;4.597619195
CL02292;4.144006271
CL02293;4.329673862
CL02294;4.550737591
CL02295;4.249807143
CL02296;4.413968931
CL02297;4.127634376
CL02298;4.783735111
CL02299;4.189039779
CL02300;4.596354946
CL02301;3.985553967
CL02302;4.568690755
CL02314;4.778555308
CL02315;3.936714773
CL02316;4.213752237
CL02317;4.212604393
CL02318;4.833109771
CL02319;3.977942343
CL02320;4.495599603
CL02321;4.62739019
CL02322;3.95823481
CL02323;4.142795963
CL02324;4.827773433
CL02325;4.641709759
CL02326;4.224851059
CL02327;4.264379423
CL02328;4.445617518
CL02329;5.052864466
CL02330;4.40295535
CL02332;4.305447145
CL02333;4.282715315
CL02393;4.458887391
CL02420;4.253835809
CL02421;4.311999134
CL02422;4.124100845
CL02423;4.649927878
CL02424;4.405657038
CL02425;4.151042243
CL02426;4.244838955
CL02427;4.53119874
CL02450;5.133191256
CL02452;4.294330834
CL02454;4.926354436
CL02455;4.570005386
CL02456;4.349914527
CL02457;4.538714466
CL02458;5.258996874
CL02469;4.577977176
CL02470;5.114862278
CL02471;4.428980011
CL02472;3.917608607
CL02473;4.220322071
CL02474;4.670581515
CL02475;3.860298689
CL02476;4.235463522
CL02477;4.633011567
CL02478;4.275070245
CL02479;5.155562661
CL02492;4.351054658
CL02493;4.466240803
CL02494;5.115525864
CL02495;5.007954571
CL02496;4.643831219
CL02497;4.580222097
CL02498;4.798596019
CL02499;4.561690692
CL02500;4.427603954
CL02501;4.596297443
CL02502;4.570843117
CL02503;4.639067713
CL02521;4.248557948
CL02522;4.45251085
CL02523;5.100369795
CL02524;4.575217235
CL02525;4.157863137
CL02526;4.594506013
CL02527;4.632220488
CL02528;4.421527729
CL02529;4.536113082
CL02530;5.247042334
CL02531;4.793194143
CL02532;3.530476676
CL02534;4.862418874
CL02533;5.019153655
CL02535;4.652447486
CL02536;5.235485598
CL02547;4.99651214
CL02548;5.131005808
CL02549;4.934667704
CL02550;4.706593707
CL02551;4.853357576
CL02552;4.942126801
CL02553;5.894799785
CL02554;5.209667395
CL02555;5.008213534
CL02556;5.125363405
CL02557;4.938486184
CL02558;5.176655452
CL02559;4.734384175
CL02560;4.955171472
CL02561;4.793142098
CL02562;5.054344333
CL02563;5.207938998
CL02564;5.052761929
CL02565;5.120524971
CL02566;5.106810547
CL02567;5.674127975
CL02601;4.76874127
CL02602;4.875573299
CL02603;4.93315618
CL02604;4.796294502
CL02606;4.686265975
CL02607;5.021963722
CL02608;5.250046846
CL02610;4.979281511
CL02611;4.442841347
CL02612;5.455967393
CL02613;4.762868804
CL02614;4.719845193
CL02616;4.929935518
CL02615;4.906529077
CL02617;4.859076544
CL02618;5.468952129
CL02619;4.382127538
CL02620;4.415755648
CL02621;5.521031619
CL02622;5.15447023
CL02623;5.128432796
CL02624;4.811589418
CL02626;4.982156837
CL02627;5.31425429
CL02628;4.801379242
CL02630;5.098603415
CL02631;5.315090566
CL02632;4.851031994
CL02634;5.984295866
CL02635;5.170285455
CL02637;5.243877419
CL02638;5.026510173
CL02639;5.311501289
CL02640;5.107011476
CL02642;5.43129399
CL02641;4.897306292
CL02643;5.31640626
CL02645;5.378576126
CL02644;5.5350196
CL02646;5.28589212
CL02647;4.685824346
CL02648;5.5236964
CL02649;4.861703757
CL02651;5.141130566
CL02650;4.424234317
CL02666;5.39915568
CL02667;4.679289095
CL02668;5.743565544
CL02670;5.596119795
CL02671;5.904095426
CL02673;5.088014213
CL02702;4.596737129
CL02704;5.27896903
CL02706;4.812510344
CL02707;4.471861602
CL02708;4.622480721
CL02709;4.864807176
CL02711;4.163167435
CL02712;5.07018058
CL02713;5.248479405
CL02714;5.997709337
CL02715;5.306774125
CL02735;5.367343009
CL02736;4.461966693
CL02737;5.418783892
CL02738;5.140196162
CL02739;4.789838329
CL02740;5.002507045
CL02741;4.538061017
CL02742;4.55341014
CL02743;5.497081213
CL02744;5.101848189
CL02745;5.232609622
CL02746;4.569331106
CL02747;5.016452867
CL02748;4.662225848
CL02749;4.855716388
CL02750;4.589850123
CL02751;5
CL02753;5
CL02755;5.166821085
CL02754;5.743128705
CL02756;5
CL02757;4.931187912
CL02758;4.737859651
CL02759;5.484328926
CL02760;5.331099191
CL02761;5.077224832
CL02762;4.987539849
CL02763;5.64044275
CL02764;4.873190138
CL02765;5.397096217
CL02766;5.818259969
CL02817;4.911668164
CL02818;5.768740436
CL02819;4.987095909
CL02820;5.546795652
CL02821;4.397680782
CL02822;4.807375356
CL02823;5.16526596
CL02824;4.894798575
CL02825;4.473567301
CL02826;5.42430197
CL02827;5.329110606
CL02828;5.252347611
CL02829;5.157867355
CL02830;5.977118674
CL02831;5.332350458
CL02832;5.53234076
CL02833;5.168934343
CL02834;4.991184126
CL02835;5.146828887
CL02836;5.890989482
CL02837;5.058308415
CL02838;6.364831692
CL02839;5.224337604
CL02841;5.54155689
CL02840;6.238392603
CL02842;5.197961484
CL02843;5.082821378
CL02844;8.048385178
CL02864;5.264937709
CL02865;5.016146694
CL02867;4.323701857
CL02866;5.343197571
CL02868;5.240331324
CL02869;4.659162499
CL02870;4.652120991
CL02871;5.151105097
CL02872;4.583543674
CL02873;5.253121864
CL02874;4.477563996
CL02875;5.12824321
CL02876;5.068708182
CL02877;5.32574574
CL02878;5.385628417
CL02879;5.184979305
CL02880;4.84609711
CL02881;5.442007055
CL02882;6.019649908
CL02883;5.169610182
CL02884;5.231930522
CL02885;5.112967645
CL02888;4.815174594
CL02889;5.430825412
CL02890;5.049937968
CL02891;5.348200399
CL02892;4.666192869
CL02893;4.790002725
CL02894;4.264716085
CL02895;4.941164531
CL02896;5
CL02897;4.965051672
CL02898;5.278176197
CL02899;5.830591566
CL02901;4.707297205
CL02900;5.01763899
CL02902;6.190656
CL02903;5.019862624
CL02904;5.548416098
CL02905;5.84962606
CL02906;5.860554552
CL02907;5.547706563
CL02908;4.933878022
CL02909;5.632807761
CL02910;5.171926117
CL02911;5.440851167
CL02912;5.9817661
CL02913;6.023243983
CL02914;5.422143867
CL02915;5.811122888
CL02917;7.075759643
CL02918;5.873753344
CL02919;5.850612927
