PXg_m,PXg_sd,PYg_m,PYg_sd,PZg_m,PZg_sd,HXg_m,HXg_sd,HYg_m,HYg_sd,HZg_m,HZg_sd,KXg_m,KXg_sd,KYg_m,KYg_sd,KZg_m,KZg_sd,AXg_m,AXg_sd,AYg_m,AYg_sd,AZg_m,AZg_sd
10.7398,4.91009,1.33612,1.5406,4.20039,3.15313,36.647,5.93597,0.295859,2.60587,-9.60745,7.02838,3.97459,4.025,-1.57009,2.60845,-22.8574,8.74504,5.67674,3.22367,-5.97616,3.31007,-5.50411,4.17272
10.6969,4.91974,1.56166,1.57852,4.31023,3.15386,36.3857,5.96215,0.691661,2.61651,-9.55711,7.00949,4.9971,4.10984,-1.73307,2.62343,-22.8551,8.68057,4.34048,3.27538,-5.95046,3.3019,-5.2835,4.19413
10.6407,4.92773,1.8328,1.61694,4.36353,3.13863,36.0739,5.97124,1.12808,2.6322,-9.46467,7.00149,6.14683,4.22405,-1.84593,2.65958,-22.5567,8.67145,2.69878,3.31937,-5.81892,3.28066,-5.07945,4.21559
10.5714,4.93452,2.14472,1.6552,4.35993,3.1081,35.7291,5.96948,1.59164,2.65375,-9.30522,7.01229,7.39643,4.36272,-1.89144,2.71315,-21.8994,8.70689,0.98022,3.32714,-5.55808,3.23599,-4.89524,4.23128
10.4881,4.94059,2.49157,1.69288,4.30268,3.06341,35.368,5.97002,2.08065,2.68095,-9.05649,7.04879,8.73987,4.52089,-1.86875,2.77916,-20.8754,8.76927,-0.568706,3.28516,-5.16628,3.16455,-4.731,4.24031
10.3897,4.94594,2.86541,1.7303,4.19894,3.00512,34.9997,5.98684,2.60215,2.71523,-8.70958,7.11224,10.1721,4.68766,-1.79223,2.85426,-19.5511,8.84563,-1.74463,3.20246,-4.66999,3.07359,-4.58347,4.24454
10.2757,4.95001,3.25574,1.76759,4.05972,2.93437,34.6208,6.02677,3.16515,2.75897,-8.27643,7.19684,11.6688,4.84679,-1.68648,2.93608,-18.0605,8.92356,-2.43959,3.10311,-4.11943,2.97523,-4.44583,4.24615
10.1464,4.95191,3.64955,1.80509,3.89958,2.8527,34.211,6.08812,3.77269,2.81322,-7.79145,7.28911,13.1745,4.98448,-1.57764,3.02049,-16.5635,8.98433,-2.64876,3.01071,-3.57228,2.87961,-4.31137,4.2429
10.0034,4.95051,4.03188,1.84321,3.73489,2.76186,33.7391,6.16259,4.41367,2.87673,-7.309,7.371,14.6122,5.09653,-1.48626,3.10029,-15.1988,9.01136,-2.44297,2.94059,-3.07904,2.79127,-4.17837,4.2322
9.84961,4.94466,4.38661,1.88173,3.58184,2.66386,33.1707,6.23907,5.06184,2.94497,-6.88797,7.42563,15.8978,5.19013,-1.42288,3.16823,-14.0515,9.00628,-1.92911,2.89578,-2.67243,2.71209,-4.05011,4.21467
9.68931,4.93355,4.69814,1.91937,3.45461,2.56201,32.4778,6.30416,5.67983,3.01337,-6.57876,7.44361,16.9581,5.2733,-1.38783,3.21909,-13.1499,8.98878,-1.22064,2.87439,-2.36598,2.64411,-3.93538,4.19437
9.52805,4.91696,4.9526,1.95444,3.36434,2.45954,31.6478,6.34724,6.22634,3.07937,-6.41324,7.42532,17.7466,5.34673,-1.37336,3.25075,-12.4841,8.97913,-0.415862,2.86933,-2.15924,2.5879,-3.84459,4.17643
