,,New Patient:LElbAnglesXZY,,,New Patient:LShoAnglesXZY,,,New Patient:LShoAnglesYZY,,,New Patient:LWristAnglesXZY,,,New Patient:RElbAnglesXZY,,,New Patient:RShoAnglesXZY,,,New Patient:RShoAnglesYZY,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RSHOX,RSHOY,RSHOZ,X,Y,Z
1,0,31.3206,2.57E-10,-149.692,-11.2021,3.14127,25.7894,-74.2253,11.6288,100.323,-23.1782,-0.00752431,0.900354,22.3774,-2.71E-10,148.071,-16.9722,8.63188,-11.1151,-62.5236,18.9834,52.6988
2,0,31.3304,2.56E-10,-149.626,-11.2264,3.14906,25.7288,-74.2202,11.6543,100.259,-23.1989,-0.0185821,0.898116,22.3338,-2.72E-10,148.226,-16.9612,8.64345,-11.2259,-62.4769,18.9788,52.5421
3,0,31.3395,2.55E-10,-149.547,-11.2596,3.16161,25.655,-74.2041,11.6896,100.171,-23.2232,-0.0338212,0.895586,22.2772,-2.74E-10,148.427,-16.9458,8.65845,-11.3754,-62.4147,18.9717,52.3316
4,0,31.3453,2.55E-10,-149.462,-11.3017,3.17981,25.5736,-74.173,11.7349,100.061,-23.2492,-0.0530846,0.893118,22.2099,-2.76E-10,148.669,-16.9259,8.67619,-11.5614,-62.339,18.9619,52.0709
5,0,31.3446,2.54E-10,-149.382,-11.3517,3.20434,25.493,-74.1227,11.7896,99.9343,-23.2742,-0.0762547,0.891173,22.1358,-2.78E-10,148.937,-16.902,8.69537,-11.7786,-62.2538,18.9493,51.7696
6,0,31.3345,2.54E-10,-149.317,-11.4087,3.2354,25.4223,-74.0512,11.8527,99.7968,-23.2955,-0.102931,0.890291,22.0603,-2.80E-10,149.216,-16.875,8.7142,-12.0192,-62.1653,18.9339,51.4411
7,0,31.3121,2.54E-10,-149.278,-11.471,3.27282,25.3712,-73.9579,11.9227,99.6579,-23.3116,-0.132835,0.891025,21.9891,-2.83E-10,149.488,-16.8461,8.7306,-12.2738,-62.0806,18.9157,51.1021
8,0,31.2755,2.54E-10,-149.273,-11.5371,3.31585,25.3485,-73.8446,11.9979,99.5281,-23.3211,-0.165403,0.893844,21.9284,-2.85E-10,149.733,-16.8165,8.74241,-12.5318,-62.0075,18.8948,50.7704
9,0,31.2235,2.54E-10,-149.311,-11.6054,3.36322,25.3613,-73.7156,12.0765,99.4187,-23.3239,-0.200285,0.899109,21.8835,-2.86E-10,149.936,-16.7874,8.74769,-12.7822,-61.9529,18.8715,50.4639
10,0,31.1559,2.55E-10,-149.394,-11.6743,3.41327,25.4149,-73.5768,12.1564,99.3408,-23.3204,-0.236627,0.906974,21.859,-2.87E-10,150.08,-16.7594,8.74495,-13.0136,-61.9219,18.8455,50.1989
11,0,31.0736,2.56E-10,-149.525,-11.7425,3.46403,25.5125,-73.4355,12.2359,99.3043,-23.3118,-0.273569,0.917432,21.8578,-2.88E-10,150.155,-16.7327,8.73342,-13.2148,-61.9169,18.8168,49.989
12,0,30.9784,2.58E-10,-149.701,-11.8087,3.51347,25.6545,-73.2994,12.3132,99.3174,-23.2991,-0.31001,0.930217,21.881,-2.88E-10,150.156,-16.707,8.71316,-13.3757,-61.9376,18.785,49.8438
13,0,30.8728,2.60E-10,-149.919,-11.8721,3.55974,25.8397,-73.1754,12.3869,99.3853,-23.2837,-0.344741,0.944886,21.9278,-2.87E-10,150.08,-16.6814,8.6851,-13.4877,-61.98,18.7497,49.768
14,0,30.7598,2.62E-10,-150.174,-11.9322,3.60136,26.0646,-73.0691,12.4563,99.5102,-23.2663,-0.376245,0.960835,21.9955,-2.86E-10,149.932,-16.6542,8.65104,-13.5446,-62.0371,18.7104,49.7611
15,0,30.6425,2.65E-10,-150.458,-11.989,3.63747,26.3244,-72.9839,12.5209,99.6904,-23.2479,-0.403468,0.977344,22.0799,-2.84E-10,149.721,-16.6237,8.61339,-13.543,-62.0999,18.6666,49.8176
16,0,30.5239,2.67E-10,-150.763,-12.0426,3.66788,26.6133,-72.9205,12.5809,99.9208,-23.2289,-0.425547,0.993666,22.1756,-2.82E-10,149.46,-16.5882,8.57499,-13.4832,-62.158,18.618,49.9272
17,0,30.4065,2.70E-10,-151.083,-12.0936,3.69307,26.9247,-72.8769,12.6368,100.193,-23.2098,-0.442173,1.00914,22.277,-2.80E-10,149.166,-16.5458,8.53874,-13.3692,-62.201,18.5643,50.0756
18,0,30.2922,2.73E-10,-151.41,-12.1424,3.71414,27.2517,-72.8489,12.6896,100.496,-23.1912,-0.453396,1.02313,22.3785,-2.77E-10,148.855,-16.4955,8.5073,-13.2085,-62.2195,18.5058,50.2464
19,0,30.1824,2.76E-10,-151.738,-12.1896,3.73257,27.5874,-72.8305,12.74,100.817,-23.1739,-0.45985,1.03528,22.4752,-2.74E-10,148.546,-16.4366,8.4828,-13.0121,-62.2065,18.4427,50.4217
20,0,30.0775,2.78E-10,-152.062,-12.2353,3.75,27.9251,-72.8145,12.7887,101.142,-23.1586,-0.46239,1.04535,22.5634,-2.72E-10,148.253,-16.3691,8.46655,-12.7939,-62.1579,18.3757,50.5838
21,0,29.978,2.81E-10,-152.378,-12.2797,3.76786,28.258,-72.7951,12.8363,101.459,-23.1459,-0.461976,1.05336,22.6411,-2.70E-10,147.99,-16.2939,8.45897,-12.5695,-62.0733,18.3058,50.717
22,0,29.8836,2.84E-10,-152.683,-12.3224,3.7872,28.5797,-72.7674,12.8827,101.756,-23.1362,-0.459772,1.0595,22.7072,-2.68E-10,147.768,-16.2125,8.4595,-12.355,-61.9561,18.2342,50.8081
23,0,29.7946,2.86E-10,-152.975,-12.3631,3.80834,28.8838,-72.7295,12.9277,102.026,-23.1295,-0.456446,1.06407,22.7625,-2.67E-10,147.593,-16.127,8.46676,-12.1661,-61.8128,18.1621,50.8483
24,0,29.7109,2.89E-10,-153.25,-12.4013,3.83082,29.1639,-72.6827,12.9706,102.263,-23.125,-0.452389,1.06748,22.8085,-2.66E-10,147.468,-16.0399,8.47865,-12.0167,-61.6527,18.0907,50.8328
25,0,29.6333,2.91E-10,-153.507,-12.4365,3.85339,29.4137,-72.6322,13.0108,102.466,-23.1221,-0.448126,1.07009,22.8475,-2.65E-10,147.391,-15.9537,8.49269,-11.9171,-61.4866,18.0214,50.7617
26,0,29.5625,2.93E-10,-153.742,-12.4684,3.87414,29.6275,-72.5854,13.0473,102.636,-23.1193,-0.443655,1.07218,22.8817,-2.65E-10,147.36,-15.871,8.50629,-11.8738,-61.3255,17.955,50.6396
27,0,29.4998,2.95E-10,-153.95,-12.4969,3.89076,29.8,-72.5519,13.0794,102.778,-23.1158,-0.439622,1.07397,22.9133,-2.65E-10,147.368,-15.7938,8.51709,-11.8885,-61.1797,17.8924,50.4748
28,0,29.4465,2.96E-10,-154.125,-12.5223,3.90076,29.9271,-72.5424,13.1065,102.898,-23.1111,-0.436063,1.07547,22.9436,-2.65E-10,147.407,-15.7237,8.52314,-11.9578,-61.0571,17.8338,50.2784
29,0,29.4037,2.98E-10,-154.264,-12.5446,3.90193,30.0062,-72.5661,13.1281,103.001,-23.1053,-0.433724,1.07666,22.9732,-2.65E-10,147.468,-15.6614,8.52314,-12.0741,-60.9632,17.7793,50.0634
30,0,29.3723,2.98E-10,-154.362,-12.5639,3.89243,30.037,-72.6309,13.1438,103.097,-23.0996,-0.433674,1.07743,23.0017,-2.66E-10,147.544,-15.6071,8.51649,-12.2263,-60.9001,17.7287,49.843
31,0,29.3525,2.99E-10,-154.415,-12.5802,3.87116,30.0215,-72.7412,13.1532,103.19,-23.0953,-0.436871,1.07764,23.028,-2.66E-10,147.624,-15.5603,8.50328,-12.4008,-60.8671,17.6817,49.6302
32,0,29.3441,2.99E-10,-154.422,-12.5933,3.83776,29.9642,-72.8982,13.156,103.286,-23.0946,-0.444809,1.07717,23.051,-2.67E-10,147.703,-15.5203,8.48419,-12.5833,-60.8614,17.6377,49.4364
33,0,29.3458,2.99E-10,-154.386,-12.6024,3.79262,29.8719,-73.0997,13.1519,103.39,-23.099,-0.45817,1.07599,23.0694,-2.67E-10,147.775,-15.4859,8.46034,-12.7594,-60.8784,17.5965,49.2714
34,0,29.3563,2.98E-10,-154.311,-12.6069,3.73691,29.7531,-73.3403,13.1405,103.506,-23.11,-0.478328,1.07416,23.0824,-2.68E-10,147.834,-15.4567,8.43314,-12.9163,-60.913,17.5582,49.1432
35,0,29.3733,2.97E-10,-154.205,-12.6057,3.67223,29.6177,-73.6123,13.1214,103.636,-23.1276,-0.505386,1.07183,23.0903,-2.68E-10,147.879,-15.4321,8.40406,-13.0435,-60.9604,17.5231,49.0577
